"ID","Source","Family","Species","CommonName","Island","FirstRecorded","Notes"
"1603","Insects of Micronesia 6(7)","Margarodidae","Drosicha littorea Beardsley",NULL,"Ulithi","1952",NULL
"1604","Insects of Micronesia 6(7)","Margarodidae","Drosicha littorea Beardsley",NULL,"Kayangel","1956",NULL
"1605","Insects of Micronesia 6(7)","Margarodidae","Drosicha littorea Beardsley",NULL,"Koror","1947",NULL
"1606","Insects of Micronesia 6(7)","Margarodidae","Drosicha littorea Beardsley",NULL,"Ngulu","1952",NULL
"1607","Insects of Micronesia 6(7)","Margarodidae","Drosicha littorea Beardsley",NULL,"Sorol","1952",NULL
"1608","Insects of Micronesia 6(7)","Margarodidae","Drosicha littorea Beardsley",NULL,"Satawal","1952",NULL
"1609","Insects of Micronesia 6(7)","Margarodidae","Crypticerya jacobsoni (Green)",NULL,"Saipan","1936",NULL
"1610","Insects of Micronesia 6(7)","Margarodidae","Crypticerya jacobsoni (Green)",NULL,"Palau Islands","1939",NULL
"1611","Insects of Micronesia 6(7)","Margarodidae","Crypticerya jacobsoni (Green)",NULL,"Yap","1941",NULL
"1612","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Pagan","1959",NULL
"1613","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Anatahan","1951",NULL
"1614","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Tinian","1946",NULL
"1615","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Aguiguan","1952",NULL
"1616","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Rota","1946",NULL
"1617","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Guam","1945",NULL
"1618","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Koror","1948",NULL
"1619","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Ngerkabesang","1956",NULL
"1620","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Peleliu","1945",NULL
"1621","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Angaur","1954",NULL
"1622","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Yap","1946",NULL
"1623","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Ulithi","1946",NULL
"1624","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Fais","1952",NULL
"1625","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Nomwin","1946",NULL
"1626","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"East Fayu","1952",NULL
"1627","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Wena(Moen)","1948",NULL
"1628","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Ponape","1948",NULL
"1629","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Wake","1959",NULL
"1630","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Kwajalein","1948",NULL
"1631","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Ailiglapalap","1946",NULL
"1632","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Jaluit","1946",NULL
"1633","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Likiep","1946",NULL
"1634","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Majuro","1958",NULL
"1635","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Butaritari","1957",NULL
"1636","Insects of Micronesia 6(7)","Margarodidae","Icerya aegyptiaca (Douglas)",NULL,"Tarawa","1957",NULL
"1637","Insects of Micronesia 6(7)","Margarodidae","Icerya purchasi Maskell",NULL,"Guam","1937",NULL
"1638","Insects of Micronesia 6(7)","Margarodidae","Icerya purchasi Maskell",NULL,"Wake","1957",NULL
"1639","Insects of Micronesia 6(7)","Margarodidae","Icerya purchasi Maskell",NULL,"Eniwetok","1957",NULL
"1640","Insects of Micronesia 6(7)","Margarodidae","Icerya purchasi Maskell",NULL,"Kwajalein","1958",NULL
"1641","Insects of Micronesia 6(7)","Margarodidae","Icerya purchasi Maskell",NULL,"Majuro","1958",NULL
"1642","Insects of Micronesia 6(7)","Margarodidae","Icerya purchasi Maskell",NULL,"Tarawa","1957",NULL
"1643","Insects of Micronesia 6(7)","Margarodidae","Iserya seychellarum (Westwood)",NULL,"Palau Islands","1936",NULL
"1644","Insects of Micronesia 6(7)","Margarodidae","Iserya seychellarum (Westwood)",NULL,"Yap","1946",NULL
"1645","Insects of Micronesia 6(7)","Margarodidae","Iserya seychellarum (Westwood)",NULL,"Ulithi","1944",NULL
"1646","Insects of Micronesia 6(7)","Margarodidae","Iserya seychellarum (Westwood)",NULL,"Ocean Island","1957",NULL
"1647","Insects of Micronesia 6(7)","Margarodidae","Steatococcus samaraius Morrison",NULL,"Babelthuap","1947",NULL
"1648","Insects of Micronesia 6(7)","Margarodidae","Steatococcus samaraius Morrison",NULL,"Yap","1963",NULL
"1649","Insects of Micronesia 6(7)","Ortheziidae","Nipponorthezia guadalcanalia Morrison",NULL,"Babelthuap","1952",NULL
"1650","Insects of Micronesia 6(7)","Ortheziidae","Nipponorthezia guadalcanalia Morrison",NULL,"Yap","1950",NULL
"1651","Insects of Micronesia 6(7)","Ortheziidae","Nipponorthezia guadalcanalia Morrison",NULL,"Ton(Tol)","1953",NULL
"1652","Insects of Micronesia 6(7)","Ortheziidae","Nipponorthezia guadalcanalia Morrison",NULL,"Kusaie","1953",NULL
"1653","Insects of Micronesia 6(7)","Pseudococcidae","Antonina graminis (Maskell)",NULL,"Guam","1911",NULL
"1654","Insects of Micronesia 6(7)","Pseudococcidae","Antonina graminis (Maskell)",NULL,"Saipan","1941",NULL
"1655","Insects of Micronesia 6(7)","Pseudococcidae","Antonina graminis (Maskell)",NULL,"Koror","1953",NULL
"1656","Insects of Micronesia 6(7)","Pseudococcidae","Antonina graminis (Maskell)",NULL,"Tonoas(Dublon)","1952",NULL
"1657","Insects of Micronesia 6(7)","Pseudococcidae","Antonina graminis (Maskell)",NULL,"Wake","1959",NULL
"1658","Insects of Micronesia 6(7)","Pseudococcidae","Antonina graminis (Maskell)",NULL,"Kwajalein","1946",NULL
"1659","Insects of Micronesia 6(7)","Pseudococcidae","Antonina graminis (Maskell)",NULL,"Johnston I.","1946",NULL
"1660","Insects of Micronesia 6(7)","Pseudococcidae","Chaetococcus bambusae (Maskell)",NULL,"Saipan","1946",NULL
"1661","Insects of Micronesia 6(7)","Pseudococcidae","Chaetococcus bambusae (Maskell)",NULL,"Koror","1946",NULL
"1662","Insects of Micronesia 6(7)","Pseudococcidae","Chaetococcus bambusae (Maskell)",NULL,"Yap","1956",NULL
"1663","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Guam","1911",NULL
"1664","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Babelthuap","1946",NULL
"1665","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Koror","1948",NULL
"1666","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Fais","1964",NULL
"1667","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Woleai","1946",NULL
"1668","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Faraulep","1964",NULL
"1669","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Ton(Tol)","1946",NULL
"1670","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus boninsis (Kuwana)",NULL,"Ponape","1948",NULL
"1671","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Saipan","1946",NULL
"1672","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Tinian","1945",NULL
"1673","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Aguiguan","1952",NULL
"1674","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Rota","1946",NULL
"1675","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Guam","1911",NULL
"1676","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Koror","1938",NULL
"1677","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Yap","1950",NULL
"1678","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Utot","1949",NULL
"1679","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Ton(Tol)","1949",NULL
"1680","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Ponape","1946",NULL
"1681","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Majuro","1950",NULL
"1682","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus brevipes (Cockerell)",NULL,"Jaluit","1946",NULL
